store_type,model,Average_MAPE,Average_MAE,Number_of_Stores
a,AutoARIMA,30.34763611399615,2264.5174564085037,373
a,Drift,102.07720248533028,6111.13600311518,377
a,ETS,16.518480929529254,1013.3505066603182,377
a,Mean,21.3539379595547,2153.4399390845556,377
a,Naive,98.40357853976776,5868.412024756853,377
a,Seasonal Naive,38.442620051520656,2111.263609953265,377
b,AutoARIMA,13.039609413473572,1559.5354430552213,11
b,Drift,33.30708506762836,3654.638002368422,11
b,ETS,11.933988883405357,1339.7222051135038,11
b,Mean,17.450511206208017,2054.606634861737,11
b,Naive,32.028810081078014,3525.051948051948,11
b,Seasonal Naive,18.316414012945515,2056.7099567099567,11
c,AutoARIMA,26.774587047158,1950.107114321579,75
c,Drift,103.38091990897436,5804.428544042665,75
c,ETS,18.60709728710951,1032.2977183591233,75
c,Mean,19.87844855334687,2001.523515819026,75
c,Naive,100.0,5585.859365079365,75
c,Seasonal Naive,39.821395008482725,1965.30126984127,75
d,AutoARIMA,36.3339647164065,2621.787238612273,212
d,Drift,102.4877488337659,6074.498182308633,213
d,ETS,17.772123504218136,1074.3887014808936,213
d,Mean,20.150883587117548,2126.608113787284,213
d,Naive,99.28398709815579,5856.657724122512,213
d,Seasonal Naive,43.15436319026371,2278.5454951933825,213
