store_type,week,Predicted_Weekly_Sales
a,1,15948759.490890171
a,2,15971900.881634101
a,3,15995177.773454053
a,4,16018454.665274004
a,5,16041786.41795185
a,6,16065178.44251981
b,1,974573.7503975367
b,2,979285.7766005517
b,3,983997.8028035666
b,4,988709.8290065816
b,5,993421.8552095965
b,6,998133.8814126113
c,1,2995822.203161781
c,2,3001962.0659598564
c,3,3008104.4699589172
c,4,3014288.2769322875
c,5,3020542.9829051495
c,6,3026842.06030318
d,1,8915400.262689635
d,2,8936055.77456837
d,3,8956769.926083252
d,4,8977535.766166218
d,5,8998304.72396041
d,6,9019077.764771704
