store_id,forecast_week,sales_prediction
1,1,28776.56658143535
1,2,27982.719918482322
1,3,27541.31779106128
1,4,27181.7625685749
1,5,26943.558608385425
1,6,27034.479921216014
1,7,26828.50283640814
1,8,26771.264754002736
1,9,15211.705316173884
2,1,48678.18040955074
2,2,48580.58477169238
2,3,48524.48261807144
2,4,48820.69338109512
2,5,48508.949767827464
2,6,48814.1581488292
2,7,48343.358938781515
2,8,48522.69849574857
2,9,27529.74399923524
3,1,46218.475726087476
3,2,45944.69135930331
3,3,45065.52628582665
3,4,45192.16613382334
3,5,45523.36916507819
3,6,45689.71784114591
3,7,44950.33297868247
3,8,44692.722921388675
3,9,25750.996327288805
4,1,45189.55329688333
4,2,45394.47212154282
4,3,45663.6641950545
4,4,45641.0171392464
4,5,45889.14694356764
4,6,45672.96894768586
4,7,45547.20865709186
4,8,45438.966654279466
4,9,26144.61073518829
5,1,48259.68985218419
5,2,47505.62406179589
5,3,47070.19481386938
5,4,47562.17809136126
5,5,47623.30320855027
5,6,47289.102154200424
5,7,47097.927821720106
5,8,47158.84811280017
5,9,26952.94441255198
6,1,47240.253905923986
6,2,46830.89036456396
6,3,47379.578055344566
6,4,47814.854016594996
6,5,47594.07029352099
6,6,47495.18919241843
6,7,47496.373115964365
6,8,47648.19398265285
6,9,27141.426795726093
7,1,39456.965137045176
7,2,39029.271896207676
7,3,38398.02607805341
7,4,38315.53508954893
7,5,38309.68262670395
7,6,38007.66585423518
7,7,37390.280962835226
7,8,37557.44831721627
7,9,21563.165645269983
8,1,53657.95711099163
8,2,52458.019997017545
8,3,52455.3503674111
8,4,53226.988819424434
8,5,53207.68984294909
8,6,52821.47751981847
8,7,52265.13468984397
8,8,52729.428259962384
8,9,30330.548339381494
9,1,31572.493815138594
9,2,32267.5888967096
9,3,32782.26122783926
9,4,33243.702203922614
9,5,33163.86677835042
9,6,33298.094519723796
9,7,34040.956253878656
9,8,34194.69086946596
9,9,19410.949841923746
10,1,45306.228568611616
10,2,45297.07229786088
10,3,44385.70255859272
10,4,44288.578693463496
10,5,44866.95500864061
10,6,44920.44024645606
10,7,44351.17049561832
10,8,44160.20647505847
10,9,25231.516245933715
11,1,42243.64339991923
11,2,42492.44793897228
11,3,43342.13932902504
11,4,42887.285339745904
11,5,43058.28424948513
11,6,42964.922942210746
11,7,43270.774397922214
11,8,43041.565929798875
11,9,24542.096517223406
12,1,47307.77222828915
12,2,47063.497793005954
12,3,46921.66102837897
12,4,47449.72162425637
12,5,47659.54501008522
12,6,47456.15249489245
12,7,47302.85375418631
12,8,47254.78078584728
12,9,27151.59469539997
13,1,49528.39092255011
13,2,49629.08394291547
13,3,49698.15891471463
13,4,49951.14007220989
13,5,49870.31594524798
13,6,49787.85787426588
13,7,49486.94029980154
13,8,49498.692299613394
13,9,28305.060504530054
14,1,47647.97017511767
14,2,47366.866987485046
14,3,46792.22306729311
14,4,46810.959559716786
14,5,46409.210394309725
14,6,46781.323938960864
14,7,46362.59674717234
14,8,46763.88150569046
14,9,26895.347696540684
15,1,24184.23521974963
15,2,25008.0384315306
15,3,25308.82527357193
15,4,25232.4422784059
15,5,25416.610951075527
15,6,26091.993168068897
15,7,26654.0561868639
15,8,26717.58745669736
15,9,15063.54885851116
16,1,37490.09262094283
16,2,37347.033022805874
16,3,37272.24688165397
16,4,37088.929566684885
16,5,37105.18341449351
16,6,37089.63665518833
16,7,37516.86425223596
16,8,37599.56326205227
16,9,21209.698342776566
17,1,7954.314657705718
17,2,8677.13535012921
17,3,9312.992331705156
17,4,9058.904297507048
17,5,8879.8270476873
17,6,9161.260490717297
17,7,10453.886860556973
17,8,10271.034915010088
17,9,5838.282425100073
18,1,48060.949115516494
18,2,47646.37120811902
18,3,47563.642509643076
18,4,47730.561694278054
18,5,47743.56197834465
18,6,47658.60137187578
18,7,47257.65761186302
18,8,47508.95109154386
18,9,27027.66424616245
19,1,49896.74977582577
19,2,49965.499105646704
19,3,50110.09686653406
19,4,50472.59202917619
19,5,50153.21629816442
19,6,50165.84575460039
19,7,50370.761851491574
19,8,50389.36807620936
19,9,28662.20998454779
20,1,22971.37375060114
20,2,24767.247290743162
20,3,25535.150008972556
20,4,24901.230162680888
20,5,25398.45522279738
20,6,25073.35757925937
20,7,25007.061830896717
20,8,25060.88709875839
20,9,14567.494698750756
21,1,35680.989633063386
21,2,35905.050082405185
21,3,35958.61058678994
21,4,35597.758532733584
21,5,35792.47464068989
21,6,36192.28866220062
21,7,36465.74444278523
21,8,36383.8134401558
21,9,20697.495086378764
22,1,53158.9033392258
22,2,53087.4264614749
22,3,52633.61174146911
22,4,52340.8987508814
22,5,52354.08500006735
22,6,52614.94549875667
22,7,52058.86398252524
22,8,51850.99397502533
22,9,29513.04079503174
23,1,21319.510700670315
23,2,22580.19560332931
23,3,23069.82367300147
23,4,22704.15826412675
23,5,22809.846590171484
23,6,23503.689051960457
23,7,23245.965441303513
23,8,22770.75279078538
23,9,12912.573146532413
24,1,57620.44487131854
24,2,57248.906591020066
24,3,57466.96963767012
24,4,57814.8335489945
24,5,57843.604383240825
24,6,57240.06907687973
24,7,57089.37947717921
24,8,57228.55875082463
24,9,32790.803997965806
25,1,55980.53086847405
25,2,55301.82132928611
25,3,54853.33056393202
25,4,55361.74840006189
25,5,55458.00954252753
25,6,55267.05378671853
25,7,54793.76346185779
25,8,54686.65415605252
25,9,31276.821355444565
26,1,41188.31329534353
26,2,41317.89706653299
26,3,41626.21375565663
26,4,41603.20203782394
26,5,41595.13211566181
26,6,41403.936110368966
26,7,41729.07311840143
26,8,41518.15198563896
26,9,23895.124072374547
27,1,24164.913829814654
27,2,25255.012424956127
27,3,24743.074474911267
27,4,24175.13233377382
27,5,24135.75521617064
27,6,24838.74544161584
27,7,25742.347944029567
27,8,24950.767401132558
27,9,14313.034758659473
28,1,34819.52269509753
28,2,34717.71209879954
28,3,34039.28134746667
28,4,33972.861314186455
28,5,33622.30211202419
28,6,33802.64763905279
28,7,32708.03618576408
28,8,32500.081536232105
28,9,18585.260157455603
29,1,29664.431902442368
29,2,30363.32635803229
29,3,29837.006557964956
29,4,29906.256967617766
29,5,30463.268999325104
29,6,30505.165961117928
29,7,30284.076672548603
29,8,30345.142669782457
29,9,17375.752416548912
30,1,46551.44472829062
30,2,46456.737990009264
30,3,46635.05942002183
30,4,46562.15438777162
30,5,46591.35780287469
30,6,46272.20281886726
30,7,46417.4915192403
30,8,46454.11697504242
30,9,26612.146296531424
31,1,54524.335659814
31,2,53562.1261460257
31,3,52509.82657206654
31,4,52993.81401993149
31,5,53049.99366676607
31,6,53339.77800035751
31,7,52275.14989811236
31,8,52488.92859850207
31,9,30080.801137762377
32,1,26131.13880814742
32,2,27637.325877990217
32,3,29133.20673248457
32,4,28333.12962291839
32,5,27274.555591117147
32,6,27782.17348664483
32,7,30390.42812288207
32,8,29800.03864765377
32,9,17057.47756269
33,1,38684.50379006314
33,2,38661.14119187334
33,3,38051.790616080805
33,4,38011.18412951991
33,5,38101.390700947784
33,6,37612.927029485756
33,7,37091.25567962596
33,8,36888.30232797055
33,9,21323.416917917682
34,1,45451.188825784106
34,2,46023.17958855875
34,3,45362.91123384982
34,4,45100.586367889584
34,5,45297.89523671836
34,6,45473.74188511788
34,7,44492.42068923173
34,8,43845.55454117323
34,9,24948.504016430412
35,1,49624.9359964169
35,2,49770.2365648108
35,3,49725.902272275525
35,4,49601.79680846713
35,5,49304.032172085615
35,6,49263.83063280696
35,7,49233.74541438282
35,8,49192.18858805946
35,9,28146.644440831667
36,1,46548.516021682495
36,2,46799.77543284593
36,3,46984.76453558022
36,4,46692.27167920277
36,5,46953.12937483203
36,6,46626.22675884739
36,7,46908.598919854354
36,8,46544.263610873466
36,9,26981.736850739533
37,1,49710.28858766609
37,2,49218.58218468728
37,3,48888.38052134737
37,4,49278.64388446462
37,5,49330.122698204774
37,6,49418.73228826088
37,7,48722.97401833511
37,8,48949.62484466881
37,9,27883.96784288365
38,1,56269.95743324462
38,2,56316.056045341706
38,3,56071.03534572559
38,4,55714.976438805876
38,5,55455.954164102404
38,6,55245.78841509712
38,7,55417.030033981086
38,8,55319.891279835414
38,9,31713.151547559293
39,1,23908.499238829754
39,2,25025.076961925854
39,3,25640.904948541396
39,4,25775.155334005925
39,5,26224.75173228052
39,6,26928.62297865255
39,7,27383.03542152674
39,8,27508.692237200183
39,9,15344.726211489242
40,1,25975.729947105545
40,2,27838.75406077155
40,3,28995.921971250045
40,4,28546.610217577694
40,5,28782.0901553189
40,6,28579.92262824274
40,7,29645.61345905764
40,8,29163.207550151878
40,9,16565.12581716463
41,1,41917.20090780824
41,2,42624.48031174975
41,3,42904.265857475526
41,4,42430.64919767266
41,5,42638.02910597666
41,6,42114.434360622996
41,7,43099.69825432666
41,8,42743.94783642156
41,9,24464.112292278693
42,1,48531.38182935633
42,2,48487.9965449048
42,3,48558.61277912667
42,4,48547.19560650926
42,5,48500.25410351461
42,6,48209.765701590455
42,7,48456.33092637309
42,8,48617.44387449475
42,9,27778.200929816863
43,1,54621.066938319025
43,2,54031.7816846098
43,3,53832.07932862782
43,4,54214.063496307805
43,5,53780.83261305989
43,6,54133.31627198696
43,7,53565.85262750892
43,8,53894.06547916931
43,9,30570.761425650096
44,1,39018.04814662854
44,2,39508.69322106744
44,3,39553.70178644571
44,4,39263.1027742041
44,5,39958.05630214781
44,6,39909.57477837421
44,7,40191.095518818875
44,8,39569.39912615017
44,9,22868.60915737325
45,1,29762.430194397566
45,2,29723.50859174343
45,3,29434.054515525993
45,4,29397.111772757395
45,5,29293.10575609999
45,6,29350.94155414186
45,7,29272.229988717645
45,8,29031.183060242663
45,9,16542.022693308612
46,1,39945.39939116551
46,2,39824.945851514356
46,3,39951.23602059122
46,4,40362.827705344294
46,5,40552.527171983864
46,6,40327.40078380795
46,7,40106.6377034447
46,8,40273.969543415646
46,9,23114.69915051326
47,1,39840.22661430235
47,2,39931.641513570554
47,3,40008.629688901005
47,4,40020.59801156612
47,5,40278.823308362946
47,6,40529.295539384824
47,7,40492.13593382464
47,8,40469.297652524714
47,9,23017.972843990618
48,1,57252.423203180864
48,2,55808.62116275615
48,3,56202.73923919436
48,4,56335.86352162258
48,5,55783.12638586316
48,6,55710.40655905644
48,7,55528.23684521098
48,8,56253.97362590321
48,9,31624.01793381281
49,1,55478.180692707836
49,2,54473.698456204525
49,3,54558.88802799565
49,4,54788.73494454108
49,5,54212.0883794884
49,6,53818.44140694839
49,7,54067.59330185858
