store_id,forecast_week,sales_prediction
1,1,30246.860666882076
1,2,29050.25706434067
1,3,29379.44582705172
1,4,30096.316346583793
1,5,29724.647470482312
1,6,29106.323036789036
1,7,29548.050527477113
1,8,31099.68003927613
1,9,17575.62536923209
2,1,47813.29869527923
2,2,47589.51414020777
2,3,47842.676890888586
2,4,48040.809383574284
2,5,48026.75010616445
2,6,48170.83217362799
2,7,48195.48625162573
2,8,48228.14086594265
2,9,27583.95461957632
3,1,46766.266138307954
3,2,46057.787362405776
3,3,44748.73202751124
3,4,44716.96497938665
3,5,45124.27663739905
3,6,45715.99045963171
3,7,45103.73108914012
3,8,44985.25395426626
3,9,25686.32287985042
4,1,46691.901185010756
4,2,46712.35288642821
4,3,46589.88054668302
4,4,46593.79369414939
4,5,46550.93381216446
4,6,46573.29259998465
4,7,46895.62084569322
4,8,46902.2126359429
4,9,26827.74572347464
5,1,47059.707997628786
5,2,47132.89957009703
5,3,46764.95683655638
5,4,47109.095405825705
5,5,47015.31984815727
5,6,47071.31054844932
5,7,46593.377198804075
5,8,46814.687541993466
5,9,26913.88715632433
6,1,46032.9780368062
6,2,45775.8075908109
6,3,46243.62873421649
6,4,46058.30269906502
6,5,45964.236951845465
6,6,45807.114337320345
6,7,45658.972462715676
6,8,45809.95473091443
6,9,26175.87335462695
7,1,38528.62530561569
7,2,38575.70135560293
7,3,37802.939066916704
7,4,37667.40856157285
7,5,38197.19194609442
7,6,38274.7169702069
7,7,37459.26469664109
7,8,36730.94331602642
7,9,21181.816462464303
8,1,51266.28227800389
8,2,50447.02738693195
8,3,49376.27535267618
8,4,50234.25520532161
8,5,50429.418306689164
8,6,51011.41242855073
8,7,49100.97021130874
8,8,49660.0267899862
8,9,28220.791063456516
9,1,34611.406534127666
9,2,34640.53596187963
9,3,35624.06329960481
9,4,35532.61143544194
9,5,35617.24381443059
9,6,35794.11972287391
9,7,36001.89614637182
9,8,35952.90364836523
9,9,20492.670157533325
10,1,45488.44881946058
10,2,45089.94415553003
10,3,44998.61448433322
10,4,45384.908163114655
10,5,45099.49751312582
10,6,45048.63129739733
10,7,44867.74430390252
10,8,44907.081921941084
10,9,25611.751274110906
11,1,41698.464694535636
11,2,42270.45193307633
11,3,42921.730642667666
11,4,42950.78570437757
11,5,42770.48243503158
11,6,43293.97827116936
11,7,43221.40928453591
11,8,43408.844515551864
11,9,24498.29594800183
12,1,45613.73860233337
12,2,45667.26267664724
12,3,46189.78605087747
12,4,46255.15016412246
12,5,45926.64279832113
12,6,45868.942991156924
12,7,46241.594913631416
12,8,46347.32036247439
12,9,26338.1890002425
13,1,45861.18222921319
13,2,45727.17882714227
13,3,45886.69902833583
13,4,46234.024386352045
13,5,45911.857218552555
13,6,46157.220572340404
13,7,46347.54246846756
13,8,46677.50055609902
13,9,26585.008823524127
14,1,48371.433848270695
14,2,47771.48653687989
14,3,47505.20886905664
14,4,47287.39239792159
14,5,47253.236078751754
14,6,47167.400576218744
14,7,46701.072703750615
14,8,46779.58805081794
14,9,26799.713282242556
15,1,24482.608410541456
15,2,24603.441751190967
15,3,24691.22290297449
15,4,24957.297201367965
15,5,25375.108254802883
15,6,25938.576484933186
15,7,26092.050682888857
15,8,25709.457812601682
15,9,14813.047843832735
16,1,37785.99015045673
16,2,37837.13326305468
16,3,37618.56697796014
16,4,37298.072428548374
16,5,37130.09486213905
16,6,37133.219982459486
16,7,37360.512538852876
16,8,37239.67677847106
16,9,21215.399438573524
17,1,10388.29693173232
17,2,11163.60366581476
17,3,11348.140753519448
17,4,11077.670573674475
17,5,11170.883137725948
17,6,11604.672291744662
17,7,12371.047209621813
17,8,11575.618364924012
17,9,6473.231569751432
18,1,47321.13000316764
18,2,47109.62486178632
18,3,46382.137544461075
18,4,46847.24935457364
18,5,47488.40791872935
18,6,47510.24028174131
18,7,46810.30790744927
18,8,47053.355267783125
18,9,26974.296325133575
19,1,49453.64909144385
19,2,49407.70053907794
19,3,49463.94158722894
19,4,49797.73341413008
19,5,49519.992012535055
19,6,49677.07344414641
19,7,49717.43238263015
19,8,49901.948916723646
19,9,28377.47925343527
20,1,25123.59793890381
20,2,27193.22298716429
20,3,28136.626810589212
20,4,27442.50552735978
20,5,28119.63588947051
20,6,27640.23205457111
20,7,27806.5894305341
20,8,27422.893215814252
20,9,15681.894114304978
21,1,33626.206553954755
21,2,34058.926940791454
21,3,34325.85539296561
21,4,33836.79424704334
21,5,33792.20050615353
21,6,34247.33541116005
21,7,35135.12683605788
21,8,34717.78884935285
21,9,19599.923497157008
22,1,52324.80651398162
22,2,52303.832246550875
22,3,52445.930634377655
22,4,52268.23890123774
22,5,52049.731148591396
22,6,51708.9939138479
22,7,52099.36038722979
22,8,51924.53032885235
22,9,29720.9078970684
23,1,21528.13679842819
23,2,22211.45409322546
23,3,21923.3693415979
23,4,21766.943247671887
23,5,22514.791579222383
23,6,22814.311524390345
23,7,23106.591918319245
23,8,22350.682241926977
23,9,13061.108302514633
24,1,55021.368533968096
24,2,55019.17690105138
24,3,55007.55419346736
24,4,54790.72885212618
24,5,55297.31178546991
24,6,54669.25904513022
24,7,54890.08663565659
24,8,54512.84141260497
24,9,31363.78994825017
25,1,53456.95116331198
25,2,53181.839930979084
25,3,53619.277261776566
25,4,53957.70144752101
25,5,53533.807592076155
25,6,53276.12637165381
25,7,53309.67506607539
25,8,53585.00788092583
25,9,30443.377167242772
26,1,40178.288430327826
26,2,40543.96138016305
26,3,40990.05360052014
26,4,40505.636166793134
26,5,40589.01101763094
26,6,40644.50230730946
26,7,41528.86491222576
26,8,40837.39856950125
26,9,23489.22180085117
27,1,25063.00844553727
27,2,25921.79450292991
27,3,26316.40227931887
27,4,26267.631533905937
27,5,26475.824277273223
27,6,26482.67273463288
27,7,27381.459617574903
27,8,26945.567731981293
27,9,15206.76172118642
28,1,38710.771679369514
28,2,38392.612512982145
28,3,37877.937602437734
28,4,37872.29465544062
28,5,37197.593667043104
28,6,36459.55952663815
28,7,35659.8525710913
28,8,35207.98491117378
28,9,20093.693013456286
29,1,30061.99119294402
29,2,30436.757165171737
29,3,30085.828921222528
29,4,29875.30618779136
29,5,30168.5944603026
29,6,30798.01590068255
29,7,31007.411620689327
29,8,30669.3673046982
29,9,17676.568486459844
30,1,50118.36586566664
30,2,49548.92543690487
30,3,50081.927864117766
30,4,50305.11426086145
30,5,49872.575811048395
30,6,49901.6881884479
30,7,49757.36572746947
30,8,50117.0658783522
30,9,28460.38043851169
31,1,52678.5644518467
31,2,51302.808271243615
31,3,50342.08709014629
31,4,51173.44672076769
31,5,51018.188866760276
31,6,51218.202699421905
31,7,50328.03331058738
31,8,50984.472088240465
31,9,29359.05746541502
32,1,32352.044812839755
32,2,32706.379670743503
32,3,33035.725984165845
32,4,32990.36077307593
32,5,33114.538807823235
32,6,33292.432607787734
32,7,34148.89926358808
32,8,34014.662227373265
32,9,19853.11367832595
33,1,37996.74713471138
33,2,37598.888461536706
33,3,37453.12859568391
33,4,37109.11336576943
33,5,37090.97276554696
33,6,36883.24478104294
