unique_id,forecast_week,sales_prediction,store_type
store_1,1,21681.355,c
store_1,2,28624.885000000002,c
store_1,3,27145.375,c
store_1,4,21828.79,c
store_1,5,26256.375,c
store_1,6,21682.17,c
store_10,1,33679.815,d
store_10,2,45885.84,d
store_10,3,44443.475,d
store_10,4,34326.985,d
store_10,5,45298.14,d
store_10,6,34850.24,d
store_100,1,31209.145,c
store_100,2,45575.17,c
store_100,3,44293.4,c
store_100,4,35021.27,c
store_100,5,45120.28,c
store_100,6,36079.15,c
store_101,1,23737.25,a
store_101,2,32892.16,a
store_101,3,31829.66,a
store_101,4,23606.05,a
store_101,5,30256.185,a
store_101,6,22669.57,a
store_102,1,34361.4,a
store_102,2,46025.195,a
store_102,3,45876.235,a
store_102,4,35104.67,a
store_102,5,43491.520000000004,a
store_102,6,34152.235,a
store_103,1,36909.165,d
store_103,2,54158.24,d
store_103,3,53559.795,d
store_103,4,42831.44,d
store_103,5,56592.065,d
store_103,6,45484.71,d
store_104,1,26415.915,d
store_104,2,37626.13,d
store_104,3,36346.020000000004,d
store_104,4,28136.47,d
store_104,5,36714.41,d
store_104,6,28866.21,d
store_105,1,30850.6,d
store_105,2,41135.58,d
store_105,3,40519.31,d
store_105,4,30777.315,d
store_105,5,39880.85,d
store_105,6,29795.24,d
store_106,1,31581.285,a
store_106,2,46684.270000000004,a
store_106,3,43912.86,a
store_106,4,34634.22,a
store_106,5,45736.115,a
store_106,6,36029.215,a
store_107,1,26953.045,d
store_107,2,41326.89,d
store_107,3,39897.055,d
store_107,4,31277.025,d
store_107,5,42048.785,d
store_107,6,32331.8,d
store_108,1,39682.545,d
store_108,2,57471.945,d
store_108,3,54487.83,d
store_108,4,41599.94,d
store_108,5,54945.525,d
store_108,6,41326.854999999996,d
store_109,1,26241.955,a
store_109,2,40355.255000000005,a
store_109,3,39850.215000000004,a
store_109,4,30277.475,a
store_109,5,41857.735,a
store_109,6,32238.25,a
store_11,1,42230.020000000004,a
store_11,2,57921.665,a
store_11,3,55300.505,a
store_11,4,44189.115,a
store_11,5,56804.44,a
store_11,6,44934.479999999996,a
store_110,1,26573.015,d
store_110,2,33443.4,d
store_110,3,33328.93,d
store_110,4,27300.985,d
store_110,5,34772.03,d
store_110,6,27796.870000000003,d
store_111,1,48778.405,a
store_111,2,62816.95,a
store_111,3,62400.715,a
store_111,4,47737.215,a
store_111,5,57665.22,a
store_111,6,45335.085,a
store_112,1,32334.935,c
store_112,2,45840.26,c
store_112,3,44677.45,c
store_112,4,34674.35,c
store_112,5,44740.66,c
store_112,6,34120.22,c
store_113,1,41447.89,d
store_113,2,57653.095,d
store_113,3,56003.09,d
store_113,4,43866.45,d
store_113,5,57569.68,d
store_113,6,45518.405,d
store_114,1,35758.725,a
store_114,2,45448.625,a
store_114,3,43526.04,a
store_114,4,33681.26,a
store_114,5,39973.6,a
store_114,6,31867.309999999998,a
store_115,1,26775.835,d
store_115,2,37254.06,d
store_115,3,35379.595,d
store_115,4,29056.405,d
store_115,5,36742.11,d
store_115,6,30211.1,d
store_116,1,34613.13,d
store_116,2,46396.32,d
store_116,3,45890.185,d
store_116,4,36468.0,d
store_116,5,47344.225,d
store_116,6,37716.635,d
store_117,1,36440.83,a
store_117,2,49065.2,a
store_117,3,47953.145000000004,a
store_117,4,35642.055,a
store_117,5,44844.7,a
store_117,6,32998.035,a
store_118,1,54152.325,a
store_118,2,79768.725,a
store_118,3,76173.58,a
store_118,4,58869.38,a
store_118,5,73979.22499999999,a
store_118,6,55512.095,a
store_119,1,37953.845,a
store_119,2,51653.619999999995,a
store_119,3,50257.814999999995,a
store_119,4,43779.815,a
store_119,5,53380.425,a
store_119,6,43970.520000000004,a
store_12,1,30835.78,a
store_12,2,43455.5,a
store_12,3,40889.89,a
store_12,4,31155.085,a
store_12,5,39143.784999999996,a
store_12,6,31948.77,a
store_120,1,14526.19,d
store_120,2,21492.91,d
store_120,3,22083.155,d
store_120,4,17086.72,d
store_120,5,22821.215,d
store_120,6,17227.66,d
store_121,1,23186.495,a
store_121,2,31397.605,a
store_121,3,28970.774999999998,a
store_121,4,24067.425,a
store_121,5,28203.93,a
store_121,6,23830.454999999998,a
store_122,1,39699.130000000005,d
store_122,2,53838.925,d
store_122,3,51652.89,d
store_122,4,39482.125,d
store_122,5,52309.31,d
store_122,6,41267.625,d
store_123,1,41695.26,d
store_123,2,53403.585,d
store_123,3,50457.31,d
store_123,4,38047.645,d
store_123,5,47986.515,d
store_123,6,36053.020000000004,d
store_124,1,29160.02,c
store_124,2,39020.055,c
store_124,3,37179.63,c
store_124,4,28041.355,c
store_124,5,35036.195,c
store_124,6,26328.345,c
store_125,1,26434.905,c
store_125,2,37140.229999999996,c
store_125,3,36595.79,c
store_125,4,28258.07,c
store_125,5,37389.165,c
store_125,6,29953.089999999997,c
store_126,1,15781.1,a
store_126,2,20091.205,a
store_126,3,20169.655,a
store_126,4,16501.54,a
store_126,5,20714.295,a
store_126,6,16842.045,a
store_127,1,22584.73,a
store_127,2,31255.655000000002,a
store_127,3,30537.0,a
store_127,4,23257.325,a
store_127,5,29669.989999999998,a
store_127,6,22979.82,a
store_128,1,33267.45,d
store_128,2,46581.26,d
store_128,3,44981.16,d
store_128,4,36282.31,d
store_128,5,46557.32,d
store_128,6,38815.52,d
store_129,1,39741.01,d
store_129,2,52893.96,d
store_129,3,51684.175,d
store_129,4,43747.795,d
store_129,5,54614.635,d
store_129,6,44081.78,d
store_13,1,25286.43,c
store_13,2,38831.82,c
store_13,3,37644.04,c
store_13,4,28133.1,c
store_13,5,38615.55,c
store_13,6,29367.66,c
store_130,1,31706.17,a
store_130,2,43222.104999999996,a
store_130,3,42464.655,a
store_130,4,31832.415,a
store_130,5,40421.06,a
store_130,6,31516.25,a
store_131,1,29473.84,a
store_131,2,38453.065,a
store_131,3,36418.925,a
store_131,4,27844.705,a
store_131,5,34503.759999999995,a
store_131,6,26507.7,a
store_132,1,38549.795,d
store_132,2,49362.25,d
store_132,3,49280.185,d
store_132,4,38859.925,d
store_132,5,48240.479999999996,d
store_132,6,38872.175,d
store_133,1,42856.335,d
store_133,2,63538.86,d
store_133,3,59110.299999999996,d
store_133,4,44816.88,d
store_133,5,59304.19,d
store_133,6,45724.235,d
store_134,1,40400.07,d
store_134,2,58144.520000000004,d
store_134,3,55738.799999999996,d
store_134,4,44430.3,d
store_134,5,57248.58,d
store_134,6,45443.015,d
store_135,1,47193.955,a
store_135,2,60718.64,a
store_135,3,59857.06,a
store_135,4,47244.395000000004,a
store_135,5,58672.854999999996,a
store_135,6,46626.29,a
store_136,1,48355.865,d
store_136,2,66919.99,d
store_136,3,63361.235,d
store_136,4,48405.085,d
store_136,5,61678.725,d
