store_type,forecast_week,sales_prediction
A,1,15208222.8936742
A,2,15223116.319237327
A,3,15225977.79953877
A,4,15237083.600585138
A,5,15243100.366792286
A,6,15252819.028097704
A,7,15258756.213755948
A,8,15241033.65186706
A,9,8704336.698148582
B,1,394316.7978683901
B,2,396640.29170771246
B,3,394849.2361374537
B,4,393134.40951001254
B,5,394012.53826213465
B,6,395007.57278599
B,7,393855.8055269913
B,8,391886.2056001711
B,9,223804.52326614497
C,1,3054202.0405124878
C,2,3054274.3796223504
C,3,3055410.746414184
C,4,3054313.0259532942
C,5,3054305.8034991464
C,6,3059781.437371152
C,7,3054811.2626332226
C,8,3055843.3264991255
C,9,1742862.7624692519
D,1,8739319.842078235
D,2,8750745.64488707
D,3,8748844.20317686
D,4,8741542.934884144
D,5,8741297.328774191
D,6,8740694.137280924
D,7,8740344.140973223
D,8,8725256.744259523
D,9,4966638.311440428
