store_type,forecast_week,sales_prediction
A,1,15216103.095008401
A,2,15248993.635607671
A,3,15237184.869921297
A,4,15231229.354873901
A,5,15244985.59333843
A,6,15254392.329029351
A,7,15279694.454428159
A,8,15251299.48001918
A,9,8714859.974392664
B,1,389167.09589699097
B,2,392295.56034467823
B,3,391556.8381589271
B,4,390566.0283841626
B,5,391188.9703585343
B,6,391796.38564047037
B,7,392319.47326764575
B,8,390664.1685144576
B,9,222671.46230945963
C,1,3024911.826045638
C,2,3039103.3523950134
C,3,3036213.0640659383
C,4,3032834.88963683
C,5,3036648.220481183
C,6,3040189.982933314
C,7,3043181.8283144506
C,8,3039841.1816724995
C,9,1734846.0807883071
D,1,8718728.129801009
D,2,8720694.37545498
D,3,8720062.773153689
D,4,8719919.679159297
D,5,8713149.418324053
D,6,8709900.145687737
D,7,8706218.984616373
D,8,8691365.593029464
D,9,4949960.6526497705
